INITIAL_BALANCE;CREDITS;DEBITS;FINAL_BALANCE
41,83;0,19;-23,56;18,46

RELEASE_DATE;TRANSACTION_TYPE;REFERENCE_ID;TRANSACTION_NET_AMOUNT;PARTIAL_BALANCE
04-05-2026;Rendimentos ;MLREF000001;0,03;41,86
05-05-2026;Rendimentos ;MLREF000002;0,01;41,87
06-05-2026;Rendimentos ;MLREF000003;0,02;41,89
06-05-2026;Pagamento com QR Pix MERCHANT_SAMPLE LTDA.;MLREF000004;-23,56;18,33
07-05-2026;Rendimentos ;MLREF000005;0,01;18,34
08-05-2026;Rendimentos ;MLREF000006;0,01;18,35
12-05-2026;Rendimentos ;MLREF000007;0,01;18,36
13-05-2026;Rendimentos ;MLREF000008;0,01;18,37
14-05-2026;Rendimentos ;MLREF000009;0,01;18,38
15-05-2026;Rendimentos ;MLREF000010;0,01;18,39
19-05-2026;Rendimentos ;MLREF000011;0,01;18,40
20-05-2026;Rendimentos ;MLREF000012;0,01;18,41
21-05-2026;Rendimentos ;MLREF000013;0,01;18,42
25-05-2026;Rendimentos ;MLREF000014;0,01;18,43
26-05-2026;Rendimentos ;MLREF000015;0,01;18,44
27-05-2026;Rendimentos ;MLREF000016;0,01;18,45
29-05-2026;Rendimentos ;MLREF000017;0,01;18,46
